phone title,price,old price
"Realme C15, 6.5"", 4GB+64GB, 13MP, 4G, 6000MAh - Marine Blue + Free Ring","KSh 16,599","KSh 17,000"
"Realme C11,Grey,screen 6.5'',2Gb RAM/32 Gb ROM 5000mAh,Dual Sim+OTG Cable","KSh 10,299","KSh 12,999"
"Realme C11, 6.5'', 32 GB + 2GB RAM, Dual Sim -Green+Watch, OTG","KSh 11,259","KSh 15,000"
"Realme C15, 6.5"", 4GB+64GB,(Dual Sim), 6000mAh-Blue + FREE Selfie Stick, Gift Bag & OTG","KSh 16,799","KSh 24,399"
"Realme C11 6.5'' , 32GB ROM - 2GB RAM , 5000mAh , (Dual SIM) ,13.0MP - Grey","KSh 10,288","KSh 14,999"
"Realme C15, 6.5"", 4 GB + 64 GB (Dual SIM)_Silver Plus Free BT Earphones & OTG Cable","KSh 16,988","KSh 17,999"
"Realme C11, 6.5""Display, 13MP, 2 RAM+32GB ROM, Dual SIM 5000mAh - Grey","KSh 10,600","KSh 17,777"
"Realme 6.5""Display,  RAM + 128GBROM,4GB, (Dual SIM), 6000mAh- Silver","KSh 20,999","KSh 37,900"
"Realme C11 ; 6.5"" ;( 32GB + 2GB) ; (Dual SIM); Android 10- Green","KSh 10,800","KSh 11,999"
"Realme C11, 6.5"", 32GB + 2GB RAM (Dual SIM), 5000mAh_Green Plus Free Headset","KSh 10,599","KSh 13,999"
"Realme C11, 6.5'', 2GB + 32GB (Dual SIM) - 5000mah - Pepper Grey","KSh 10,999","KSh 17,000"
"Realme C15, 6.5"", 4GB+64GB,6000MAh,CAMERA 13MP, 4G,-Silver+Free Selfie Stick+Ring","KSh 19,200","KSh 37,000"
Apple IPhone 5 - 16GB ROM +1GB RAM -8 MP- 4inch-Apple Smartphones,"KSh 5,250","KSh 8,000"
Apple IPhone 5 - 16GB ROM +1GB RAM -8 MP- 4inch-Apple Smartphones,"KSh 5,250","KSh 9,000"
Apple IPhone 4S -3.5'' 16GB+512MB RAM (Renovation Phone)-White,"KSh 4,100","KSh 7,980"
"Apple IPhone 7, 128GB + 2GB RAM (Single SIM) 4G/LTE - Black","KSh 29,354","KSh 49,999"
Apple Refurbished IPhone 5C 32GB ROM 1GB RAM Mobile Phone - Blue,"KSh 6,170","KSh 7,300"
Apple Refurbished IPhone 6 16GB With Fingerprint Smartphone (Gift)-Gold,"KSh 11,730","KSh 12,790"
Apple IPhone 6S - 32GB - 2GB RAM - 12MP Camera - Single Sim - Gold,"KSh 20,899","KSh 31,999"
Apple IPhone 6Plus 5.5-Inch  1G+16G  4G LTE 8MP Smartphone–Grey,"KSh 16,900","KSh 20,500"
Apple Iphone 5 4.0-Inch 16GB ROM +1GB RAM 4G LTE 8MP Smartphone-Black,"KSh 6,900","KSh 21,000"
"Apple iPhone 5S, 4.0'', 64 GB+1 GB, (Single SIM) - Black","KSh 12,500","KSh 18,999"
Apple IPhone 5 - 16GB ROM +1GB RAM -8 MP- 4inch-Apple Smartphones,"KSh 5,250","KSh 7,000"
